Term name	P-D Coefficient
alcohol dehydrogenase (cytochrome c) activity	0.000
2-chloroethanol:cytochrome c oxidoreductase activity	0.000
ethanol:cytochrome c oxidoreductase activity	0.000
alcohol dehydrogenase (cytochrome c(L)) activity	0.000
2-chloroethanol cytochrome-c oxidoreductase activity	0.000
ethanol cytochrome-c oxidoreductase activity	0.000
methanol ferricytochrome-c oxidoreductase activity	0.000
mannitol dehydrogenase (cytochrome) activity	0.000
polyvinyl alcohol dehydrogenase (cytochrome) activity	0.000
D-lactate dehydrogenase (cytochrome c-553) activity	0.000
glycerol dehydrogenase [NAD(P)+] activity	0.000
methylglyoxal reductase (NADPH-dependent, acetol producing)	0.000
5(S)-hydroxyeicosatetraenoic acid dehydrogenase activity	0.000
cyclopentanol dehydrogenase activity	0.000
sinapyl alcohol dehydrogenase activity	0.000
shikimate 3-dehydrogenase (NAD+) activity	0.000
quinate 3-dehydrogenase (NADP+) activity	0.000
D-arabinitol dehydrogenase, D-xylulose forming (NADP+) activity	0.000
S-(hydroxymethyl)glutathione dehydrogenase activity	0.000
4-carboxy-2-hydroxymuconate semialdehyde hemiacetal dehydrogenase activity	0.000
2,5-didehydrogluconate reductase activity	0.000
vellosimine dehydrogenase activity	0.000
(R)-2-hydroxyacid dehydrogenase activity	0.000
2-(S)-hydroxypropyl-CoM dehydrogenase activity	0.000
2-(R)-hydroxypropyl-CoM dehydrogenase activity	0.000
dTDP-4-dehydro-6-deoxyglucose reductase activity	0.000
L-idonate 5-dehydrogenase activity	0.000
1,5-anhydro-D-fructose reductase activity	0.000
4-hydroxythreonine-4-phosphate dehydrogenase activity	0.000
glycerol-1-phosphate dehydrogenase [NAD(P)+] activity	0.000
sulcatone reductase activity	0.000
vomifoliol 4'-dehydrogenase activity	0.000
uronate dehydrogenase activity	0.000
tropinone reductase activity	0.000
tropine dehydrogenase activity	0.000
sorbose 5-dehydrogenase (NADP+) activity	0.000
sequoyitol dehydrogenase activity	0.000
coniferyl-alcohol dehydrogenase activity	0.000
ribose 1-dehydrogenase (NADP+) activity	0.000
ribitol-5-phosphate 2-dehydrogenase activity	0.000
ribitol 2-dehydrogenase activity	0.000
pyridoxal 4-dehydrogenase activity	0.000
pterocarpin synthase activity	0.000
prostaglandin-E2 9-reductase activity	0.000
propanediol-phosphate dehydrogenase activity	0.000
pantoate 4-dehydrogenase activity	0.000
omega-hydroxydecanoate dehydrogenase activity	0.000
N-acylmannosamine 1-dehydrogenase activity	0.000
N-acetylhexosamine 1-dehydrogenase activity	0.000
morphine 6-dehydrogenase activity	0.000
methanol dehydrogenase activity	0.000
mannuronate reductase activity	0.000
mannose-6-phosphate 6-reductase activity	0.000
mannitol 2-dehydrogenase activity	0.000
mannitol 2-dehydrogenase (NADP+) activity	0.000
long-chain-alcohol dehydrogenase activity	0.000
lactaldehyde reductase (NADPH) activity	0.000
L-xylose 1-dehydrogenase activity	0.000
L-threonate 3-dehydrogenase activity	0.000
L-rhamnose 1-dehydrogenase activity	0.000
L-glycol dehydrogenase activity	0.000
L-arabinose 1-dehydrogenase (NAD+) activity	0.000
L-arabinitol 4-dehydrogenase activity	0.000
isopropanol dehydrogenase (NADP+) activity	0.000
3-ketoglucose-reductase activity	0.000
hydroxyphenylpyruvate reductase activity	0.000
hydroxymalonate dehydrogenase activity	0.000
hexadecanol dehydrogenase activity	0.000
glyoxylate reductase activity	0.000
glycerol dehydrogenase [NADP+] activity	0.000
glycerol 2-dehydrogenase (NADP+) activity	0.000
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	0.000
glucuronolactone reductase activity	0.000
L-glucuronate reductase activity	0.000
glucose 1-dehydrogenase [NAD(P)] activity	0.000
glucose 1-dehydrogenase (NADP+) activity	0.000
glucose 1-dehydrogenase (NAD+) activity	0.000
geraniol dehydrogenase activity	0.000
GDP-mannose 6-dehydrogenase activity	0.000
GDP-6-deoxy-D-talose 4-dehydrogenase activity	0.000
galactose 1-dehydrogenase (NADP+) activity	0.000
fructose 5-dehydrogenase (NADP+) activity	0.000
flavanone 4-reductase activity	0.000
farnesol dehydrogenase activity	0.000
erythrulose reductase activity	0.000
dimethylmalate dehydrogenase activity	0.000
diiodophenylpyruvate reductase activity	0.000
dihydrobunolol dehydrogenase activity	0.000
D-xylose 1-dehydrogenase (NAD) activity	0.000
D-xylose 1-dehydrogenase (NADP+) activity	0.000
D-threo-aldose 1-dehydrogenase activity	0.000
D-pinitol dehydrogenase activity	0.000
D-iditol 2-dehydrogenase activity	0.000
D-arabinose 1-dehydrogenase (NAD) activity	0.000
D-arabinitol 4-dehydrogenase activity	0.000
cyclohexane-1,2-diol dehydrogenase activity	0.000
cholestanetetraol 26-dehydrogenase activity	0.000
chlordecone reductase activity	0.000
carnitine 3-dehydrogenase activity	0.000
indolelactate dehydrogenase activity	0.000
indanol dehydrogenase activity	0.000
galactitol 2-dehydrogenase activity	0.000
aryl-alcohol dehydrogenase (NADP+) activity	0.000
apiose 1-reductase activity	0.000
allyl-alcohol dehydrogenase activity	0.000
aldose-6-phosphate reductase (NADPH) activity	0.000
aldose 1-dehydrogenase activity	0.000
8-oxocoformycin reductase activity	0.000
4-hydroxybutyrate dehydrogenase activity	0.000
3-hydroxypropionate dehydrogenase (NAD+) activity	0.000
3-dehydro-L-gulonate 2-dehydrogenase activity	0.000
2-oxoadipate reductase activity	0.000
2-alkyn-1-ol dehydrogenase activity	0.000
1,3-propanediol dehydrogenase activity	0.000
(S,S)-butanediol dehydrogenase activity	0.000
(-)-menthol dehydrogenase activity	0.000
(-)-borneol dehydrogenase activity	0.000
(+)-sabinol dehydrogenase activity	0.000
(+)-neomenthol dehydrogenase activity	0.000
(+)-borneol dehydrogenase activity	0.000
(S)-3-hydroxyacid-ester dehydrogenase activity	0.000
(R)-3-hydroxyacid-ester dehydrogenase activity	0.000
(S)-2-hydroxy-fatty acid dehydrogenase activity	0.000
(R)-2-hydroxy-fatty acid dehydrogenase activity	0.000
3-hydroxybenzyl-alcohol dehydrogenase activity	0.000
oxaloglycolate reductase (decarboxylating) activity	0.000
homoisocitrate dehydrogenase activity	0.000
3-alpha-hydroxycholanate dehydrogenase activity	0.000
(S)-carnitine 3-dehydrogenase activity	0.000
tetrahydroxynaphthalene reductase activity	0.000
D-arabinitol 2-dehydrogenase activity	0.000
salutaridine reductase (NADPH) activity	0.000
codeinone reductase (NADPH) activity	0.000
15-hydroxyicosatetraenoate dehydrogenase activity	0.000
15-hydroxyprostaglandin-I dehydrogenase (NADP+) activity	0.000
3-alpha-hydroxyglycyrrhetinate dehydrogenase activity	0.000
diethyl 2-methyl-3-oxosuccinate reductase activity	0.000
4-hydroxycyclohexanecarboxylate dehydrogenase activity	0.000
(R)-4-hydroxyphenyllactate dehydrogenase activity	0.000
6-pyruvoyltetrahydropterin 2'-reductase activity	0.000
benzyl-2-methyl-hydroxybutyrate dehydrogenase activity	0.000
3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity	0.000
15-hydroxyprostaglandin dehydrogenase (NADP+) activity	0.000
15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity	0.000
indole-3-acetaldehyde reductase (NADPH) activity	0.000
indole-3-acetaldehyde reductase (NADH) activity	0.000
prostaglandin-F synthase activity	0.000
cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity	0.000
3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity	0.000
glycerol-3-phosphate 1-dehydrogenase [NADP+] activity	0.000
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity	0.000
2-dehydropantolactone reductase (A-specific) activity	0.000
hydroxycyclohexanecarboxylate dehydrogenase activity	0.000
3-alpha-hydroxy-5-beta-androstane-17-one 3-alpha-dehydrogenase activity	0.000
UDP-N-acetylglucosamine 6-dehydrogenase activity	0.000
dTDP-6-deoxy-L-talose 4-dehydrogenase activity	0.000
L-arabinitol 2-dehydrogenase activity	0.000
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity	0.000
2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase activity	0.000
(S)-usnate reductase activity	0.000
D-xylulose reductase activity	0.000
mannitol dehydrogenase activity	0.000
6-endo-hydroxycineole dehydrogenase activity	0.000
D-arabinose 1-dehydrogenase [NAD(P)+] activity	0.000
L-xylulose reductase (NAD+) activity	0.000
L-arabinose 1-dehydrogenase (NADP+) activity	0.000
methylglyoxal reductase (NADPH-dependent) activity	0.000
2-hydroxymethylglutarate dehydrogenase activity	0.000
(R)-2-hydroxyisocaproate dehydrogenase activity	0.000
hydroxymethylglutaryl-CoA reductase activity	0.000
13-lipoxin reductase activity	0.000
13-prostaglandin reductase activity	0.000
prostaglandin D2 11-ketoreductase activity	0.000
prostaglandin H2 endoperoxidase reductase activity	0.000
3-hydroxypropionate dehydrogenase (NADP+) activity	0.000
very long-chain-3-hydroxyacyl-CoA dehydrogenase activity	0.000
3-hydroxymenthone dehydrogenase activity	0.000
(R)-(-)-1,2,3,4-tetrahydronaphthol dehydrogenase activity	0.000
chlorophyll(ide) b reductase activity	0.000
hydroxymethylfurfural reductase (NADPH) activity	0.000
hydroxymethylfurfural reductase (NADH) activity	0.000
hydroxymethylfurfural reductase activity	0.000
1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity	0.000
4-phosphoerythronate dehydrogenase activity	0.000
D-arabinitol dehydrogenase, D-ribulose forming (NADP+) activity	0.000
isocitrate-homoisocitrate dehydrogenase activity	0.000
3''-deamino-3''-oxonicotianamine reductase activity	0.000
GDP-4-dehydro-6-deoxy-D-mannose reductase activity	0.000
3beta-hydroxy-5alpha-steroid dehydrogenase activity	0.000
3beta-hydroxy-5beta-steroid dehydrogenase activity	0.000
(+)-trans-carveol dehydrogenase activity	0.000
dTDP-galactose 6-dehydrogenase activity	0.000
5-hydroxyvalerate dehydrogenase activity	0.000
phenylcoumaran benzylic ether reductase activity	0.000
sorbose reductase activity	0.000
serine 3-dehydrogenase activity	0.000
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	0.000
quinate 3-dehydrogenase (NAD+) activity	0.000
methylglyoxal reductase (NADH-dependent) activity	0.000
3-(imidazol-5-yl)lactate dehydrogenase activity	0.000
acetoin dehydrogenase activity	0.000
diacetyl reductase ((S)-acetoin forming) activity	0.000
diacetyl reductase ((R)-acetoin forming) activity	0.000
galactose 1-dehydrogenase activity	0.000
(R)-aminopropanol dehydrogenase activity	0.000
2-dehydropantolactone reductase (B-specific) activity	0.000
3-hydroxypimeloyl-CoA dehydrogenase activity	0.000
6-hydroxyhexanoate dehydrogenase activity	0.000
4-(hydroxymethyl)benzenesulfonate dehydrogenase activity	0.000
fluoren-9-ol dehydrogenase activity	0.000
cyclohexanol dehydrogenase activity	0.000
carveol dehydrogenase activity	0.000
isopiperitenol dehydrogenase activity	0.000
perillyl-alcohol dehydrogenase activity	0.000
aryl-alcohol dehydrogenase (NAD+) activity	0.000
alcohol dehydrogenase [NAD(P)+] activity	0.000
3-methylbutanol:NAD(P) oxidoreductase activity	0.000
acetoacetyl-CoA reductase activity	0.000
2-hydroxytetrahydrofuran dehydrogenase activity	0.000
5-exo-hydroxycamphor dehydrogenase activity	0.000
epoxide dehydrogenase activity	0.000
4-oxoproline reductase activity	0.000
long-chain-3-hydroxyacyl-CoA dehydrogenase activity	0.000
15-hydroxyprostaglandin dehydrogenase (NAD+) activity	0.000
UDP-4-keto-rhamnose-4-keto-reductase activity	0.000
ureidoglycolate dehydrogenase activity	0.000
tartrate dehydrogenase activity	0.000
tagaturonate reductase activity	0.000
sorbitol-6-phosphate 2-dehydrogenase activity	0.000
mannitol-1-phosphate 5-dehydrogenase activity	0.000
lactaldehyde reductase activity	0.000
S-lactaldehyde reductase activity	0.000
R-lactaldehyde reductase activity	0.000
glycerol dehydrogenase [NAD+] activity	0.000
gluconate dehydrogenase activity	0.000
gluconate 2-dehydrogenase (acceptor) activity	0.000
gluconate 5-dehydrogenase activity	0.000
gluconate 2-dehydrogenase activity	0.000
galactitol-1-phosphate 5-dehydrogenase activity	0.000
fructuronate reductase activity	0.000
dTDP-4-dehydrorhamnose reductase activity	0.000
UDP-N-acetylmuramate dehydrogenase activity	0.000
L-threonine 3-dehydrogenase activity	0.000
5-amino-6-(5-phosphoribosylamino)uracil reductase activity	0.000
3-hydroxybutyryl-CoA dehydrogenase activity	0.000
2-hydroxy-3-oxopropionate reductase activity	0.000
2-deoxy-D-gluconate 3-dehydrogenase activity	0.000
2-dehydropantoate 2-reductase activity	0.000
3-hydroxyisobutyrate dehydrogenase activity	0.000
phosphogluconate 2-dehydrogenase activity	0.000
shikimate 3-dehydrogenase (NADP+) activity	0.000
sepiapterin reductase activity	0.000
phosphoglycerate dehydrogenase activity	0.000
phosphogluconate dehydrogenase (decarboxylating) activity	0.000
octanol dehydrogenase activity	0.000
mevaldate reductase activity	0.000
mevaldate reductase (NAD+) activity	0.000
mevaldate reductase (NADPH) activity	0.000
ketol-acid reductoisomerase activity	0.000
isocitrate dehydrogenase activity	0.000
isocitrate dehydrogenase (NADP+) activity	0.000
isocitrate dehydrogenase (NAD+) activity	0.000
hydroxymethylglutaryl-CoA reductase (NADPH) activity	0.000
homoserine dehydrogenase activity	0.000
histidinol dehydrogenase activity	0.000
glycerol-3-phosphate dehydrogenase [NAD+] activity	0.000
glucose-6-phosphate dehydrogenase activity	0.000
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	0.000
pyridoxine:NADP 4-dehydrogenase activity	0.000
3-methylbutanol:NADP oxidoreductase activity	0.000
2-methylbutanol:NADP oxidoreductase activity	0.000
L-arabinose:NADP reductase activity	0.000
D-xylose:NADP reductase activity	0.000
alcohol dehydrogenase (NAD) activity	0.000
3-methylbutanol:NAD oxidoreductase activity	0.000
inositol 2-dehydrogenase activity	0.000
xanthoxin dehydrogenase activity	0.000
alcohol dehydrogenase activity, iron-dependent	0.000
alcohol dehydrogenase activity, zinc-dependent	0.000
alcohol dehydrogenase activity, metal ion-independent	0.000
UDP-glucose 6-dehydrogenase activity	0.000
IMP dehydrogenase activity	0.000
3-isopropylmalate dehydrogenase activity	0.000
3-hydroxybutyrate dehydrogenase activity	0.000
malate dehydrogenase (menaquinone) activity	0.000
malate dehydrogenase (NADP+) activity	0.000
D-malate dehydrogenase (decarboxylating) activity	0.000
L-malate dehydrogenase activity	0.000
malate dehydrogenase (quinone) activity	0.000
malate dehydrogenase (oxaloacetate-decarboxylating) activity	0.000
malate dehydrogenase (decarboxylating) activity	0.000
choline dehydrogenase activity	0.000
lactate dehydrogenase activity	0.000
D-lactate dehydrogenase activity	0.000
L-lactate dehydrogenase (cytochrome) activity	0.000
L-lactate dehydrogenase activity	0.000
D-lactate dehydrogenase (cytochrome) activity	0.000
glucose dehydrogenase activity	0.000
quinoprotein glucose dehydrogenase activity	0.000
3-oxosteroid 1-dehydrogenase activity	0.000
3-oxo-5-beta-steroid 4-dehydrogenase activity	0.000
17-beta-hydroxysteroid dehydrogenase (NADP+) activity	0.000
17-beta-ketosteroid reductase activity	0.000
11-beta-hydroxysteroid dehydrogenase (NADP+) activity	0.000
11-beta-hydroxysteroid dehydrogenase (NAD+) activity	0.000
testosterone 17-beta-dehydrogenase (NAD+) activity	0.000
estradiol 17-alpha-dehydrogenase activity	0.000
3alpha,7alpha,12beta-trihydroxy-5beta-cholanate dehydrogenase activity	0.000
androstan-3-alpha,17-beta-diol dehydrogenase activity	0.000
testosterone dehydrogenase (NAD+) activity	0.000
5alpha-androstane-3beta,17beta-diol dehydrogenase activity	0.000
androsterone dehydrogenase (A-specific) activity	0.000
7-beta-hydroxysteroid dehydrogenase (NADP+) activity	0.000
cholate 12-alpha dehydrogenase activity	0.000
pregnan-21-ol dehydrogenase (NADP+) activity	0.000
pregnan-21-ol dehydrogenase (NAD+) activity	0.000
17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity	0.000
16-alpha-hydroxysteroid dehydrogenase activity	0.000
17-beta-hydroxysteroid dehydrogenase (NAD+) activity	0.000
dihydrotestosterone 17-beta-dehydrogenase activity	0.000
testosterone dehydrogenase [NAD(P)] activity	0.000
3-beta-hydroxy-delta5-steroid dehydrogenase activity	0.000
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity	0.000
phthalate dioxygenase reductase activity	0.000
NADPH-adrenodoxin reductase activity	0.000
cytochrome bo3 ubiquinol oxidase activity	0.000
cytochrome o ubiquinol oxidase activity	0.000
N-ethylmaleimide reductase activity	0.000
2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity	0.000
tyramine-beta hydroxylase activity	0.000
thyroxine 5'-deiodinase activity	0.000
20-aldehyde-leukotriene B4 20-monooxygenase activity	0.000
thalianol hydroxylase activity	0.000
carotene epsilon hydroxylase activity	0.000
alpha-carotene epsilon hydroxylase activity	0.000
zeinoxanthin epsilon hydroxylase activity	0.000
linoleic acid epoxygenase activity	0.000
fatty acid in-chain hydroxylase activity	0.000
jasmonoyl-isoleucine-12-hydroxylase activity	0.000
canthaxanthin 3-hydroxylase activity	0.000
adonirubin 3-hydroxylase activity	0.000
beta-carotene 3-hydroxylase activity	0.000
beta-cryptoxanthin hydroxylase activity	0.000
4-ketotorulene 3-hydroxylase activity	0.000
echinenone 3-hydroxylase activity	0.000
thiophene-2-carbonyl-CoA monooxygenase activity	0.000
steroid 9-alpha-monooxygenase activity	0.000
progesterone monooxygenase activity	0.000
progesterone 11-alpha-monooxygenase activity	0.000
linalool 8-monooxygenase activity	0.000
estradiol 6-beta-monooxygenase activity	0.000
3-hydroxybenzoate 2-monooxygenase activity	0.000
2-hydroxypyridine 5-monooxygenase activity	0.000
phylloquinone monooxygenase (2,3-epoxidizing) activity	0.000
androst-4-ene-3,17-dione monooxygenase activity	0.000
ferulate 5-hydroxylase activity	0.000
p-coumarate 3-hydroxylase activity	0.000
luciferin monooxygenase activity	0.000
Latia-luciferin monooxygenase (demethylating) activity	0.000
ornithine N5-monooxygenase activity	0.000
deoxyhypusine monooxygenase activity	0.000
4-methoxybenzoate monooxygenase (O-demethylating) activity	0.000
dibenzothiophene-5,5-dioxide monooxygenase activity	0.000
2-hydroxyisobutyrate 3-monooxygenase activity	0.000
ammonia monooxygenase activity	0.000
alpha-pinene monooxygenase activity	0.000
tert-butanol 2-monooxygenase activity	0.000
4-chlorophenoxyacetate monooxygenase activity	0.000
4-nitrocatechol 4-monooxygenase activity	0.000
methyl tertiary butyl ether 3-monooxygenase activity	0.000
nitrilotriacetate monooxygenase activity	0.000
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen	0.000
CMP-N-acetylneuraminate monooxygenase activity	0.000
6-hydroxy pseudo-oxynicotine monooxygenase activity	0.000
monophenol monooxygenase activity	0.000
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	0.000
peptidylglycine monooxygenase activity	0.000
dopamine beta-monooxygenase activity	0.000
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen	0.000
mandelate 4-monooxygenase activity	0.000
glyceryl-ether monooxygenase activity	0.000
anthranilate 3-monooxygenase activity	0.000
tyrosine 3-monooxygenase activity	0.000
tryptophan 5-monooxygenase activity	0.000
phenylalanine 4-monooxygenase activity	0.000
midchain alkane hydroxylase activity	0.000
arachidonic acid omega-hydroxylase activity	0.000
corticosterone 18-monooxygenase activity	0.000
butane monooxygenase activity	0.000
4-AD 9alpha-hydroxylase activity	0.000
ADD 9alpha-hydroxylase activity	0.000
cyclohexane monooxygenase activity	0.000
N-isopropylacetaniline monooxygenase activity	0.000
2,3-bis(4-hydroxyphenyl)-1,2-propanediol dioxygenase activity	0.000
choline monooxygenase activity	0.000
camphor 1,2-monooxygenase activity	0.000
camphor 5-monooxygenase activity	0.000
atrazine N-dealkylase activity	0.000
deisopropylatrazine monooxygenase activity	0.000
deethylatrazine monooxygenase activity	0.000
aromatase activity	0.000
4-hydroxyphenylacetate 3-monooxygenase activity	0.000
alkanal monooxygenase (FMN-linked) activity	0.000
3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase activity	0.000
pyrrole-2-carboxylate monooxygenase activity	0.000
alkanesulfonate monooxygenase activity	0.000
phenylacetyl-CoA 1,2-epoxidase activity	0.000
(3E)-4,8-dimethyl-1,3,7-nonatriene synthase activity	0.000
4,8,12-trimethyltrideca-1,3,7,11-tetraene synthase activity	0.000
N-hydroxy-L-tryptophan,NADPH:oxygen oxidoreductase (N-hydroxylating)	0.000
L-tryptophan,NADPH:oxygen oxidoreductase (N-hydroxylating)	0.000
L-tryptophan,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating)	0.000
tri-(coumaroyl or caffeoyl) spermidine meta-hydroxylase activity	0.000
monocoumaroyl dicaffeoyl spermidine meta-hydroxylase activity	0.000
dicoumaroyl monocaffeoyl spermidine meta-hydroxylase activity	0.000
tricoumaroylspermidine meta-hydroxylase activity	0.000
tri-(feruloyl or hydroxyferuloyl) spermidine meta-hydroxylase activity	0.000
monoferuloyl di-(hydroxyferuloyl) spermidine meta-hydroxylase activity	0.000
diferuloyl mono-(hydroxyferuloyl) spermidine meta-hydroxylase activity	0.000
triferuloylspermidine meta-hydroxylase activity	0.000
tocotrienol omega-hydroxylase activity	0.000
tocopherol omega-hydroxylase activity	0.000
alpha-tocopherol omega-hydroxylase activity	0.000
antheraxanthin epoxidase activity	0.000
zeaxanthin epoxidase activity	0.000
ent-kaur-16-en-19-al oxidase activity	0.000
ent-kaur-16-en-19-ol oxidase activity	0.000
ent-kaurene oxidase activity	0.000
(+)-menthofuran synthase activity	0.000
gibberellin 12-aldehyde oxidase activity	0.000
ent-7-alpha-hydroxykaurenoate oxidase activity	0.000
ent-kaurenoate oxidase activity	0.000
taxane 13-alpha-hydroxylase activity	0.000
taxane 10-beta-hydroxylase activity	0.000
vinorine hydroxylase activity	0.000
7-deoxyloganin 7-hydroxylase activity	0.000
tabersonine 16-hydroxylase activity	0.000
N-methylcoclaurine 3'-monooxygenase activity	0.000
4-hydroxyphenylacetaldehyde oxime monooxygenase activity	0.000
quinine 3-monooxygenase activity	0.000
tyrosine N-monooxygenase activity	0.000
trans-cinnamate 2-monooxygenase activity	0.000
taxifolin 8-monooxygenase activity	0.000
questin monooxygenase activity	0.000
phosphatidylcholine 12-monooxygenase activity	0.000
melilotate 3-monooxygenase activity	0.000
leukotriene-E4 20-monooxygenase activity	0.000
magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity	0.000
isoflavone 3'-hydroxylase activity	0.000
4'-methoxyisoflavone 2'-hydroxylase activity	0.000
cyclopentanone monooxygenase activity	0.000
cholestanetriol 26-monooxygenase activity	0.000
imidazoleacetate 4-monooxygenase activity	0.000
anhydrotetracycline monooxygenase activity	0.000
albendazole monooxygenase activity	0.000
6-oxocineole dehydrogenase activity	0.000
2-nitrophenol 2-monooxygenase activity	0.000
2-hydroxybiphenyl 3-monooxygenase activity	0.000
(-)-menthol monooxygenase activity	0.000
2-hydroxycyclohexanone 2-monooxygenase activity	0.000
3-hydroxyphenylacetate 6-hydroxylase activity	0.000
4-hydroxyquinoline 3-monooxygenase activity	0.000
27-hydroxycholesterol 7-alpha-monooxygenase activity	0.000
benzoyl-CoA 3-monooxygenase activity	0.000
dihydrochelirubine 12-monooxygenase activity	0.000
dihydrosanguinarine 10-monooxygenase activity	0.000
protopine 6-monooxygenase activity	0.000
hydroxyphenylacetonitrile 2-monooxygenase activity	0.000
methyltetrahydroprotoberberine 14-monooxygenase activity	0.000
5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase activity	0.000
3,9-dihydroxypterocarpan 6a-monooxygenase activity	0.000
precorrin-3B synthase activity	0.000
6-hydroxynicotinate 3-monooxygenase activity	0.000
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase activity	0.000
taxoid 7beta-hydroxylase activity	0.000
9beta-pimara-7,15-diene oxidase activity	0.000
abieta-7,13-dien-18-ol hydroxylase activity	0.000
taxoid 14-beta-hydroxylase activity	0.000
ent-cassa-12,15-diene 11-hydroxylase activity	0.000
ent-isokaurene C2-hydroxylase activity	0.000
3-ketosteroid 9-alpha-monooxygenase activity	0.000
cholest-4-en-3-one 26-monooxygenase activity	0.000
2-hydroxy-1,4-benzoxazin-3-one monooxygenase activity	0.000
3-hydroxyindolin-2-one monooxygenase activity	0.000
indolin-2-one monooxygenase activity	0.000
indole-2-monooxygenase activity	0.000
abieta-7,13-diene hydroxylase activity	0.000
trimethylamine monooxygenase activity	0.000
4-hydroxypyridine-3-hydroxylase activity	0.000
3-HSA hydroxylase activity	0.000
branched-chain dodecylbenzene sulfonate monooxygenase activity	0.000
isobutylamine N-hydroxylase activity	0.000
salicylate 5-hydroxylase activity	0.000
bisphenol A hydroxylase A activity	0.000
1-methylnaphthalene hydroxylase activity	0.000
2-methylnaphthalene hydroxylase activity	0.000
senecionine N-oxygenase activity	0.000
25-hydroxycholesterol 7alpha-hydroxylase activity	0.000
24-hydroxycholesterol 7alpha-hydroxylase activity	0.000
cholesterol 24-hydroxylase activity	0.000
taurochenodeoxycholate 6alpha-hydroxylase activity	0.000
5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase activity	0.000
7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity	0.000
lithocholate 6beta-hydroxylase activity	0.000
phenylacetone monooxygenase activity	0.000
deoxysarpagine hydroxylase activity	0.000
isoflavone 2'-hydroxylase activity	0.000
flavonoid 3',5'-hydroxylase activity	0.000
licodione synthase activity	0.000
2-hydroxyisoflavanone synthase activity	0.000
glyceollin synthase activity	0.000
4-hydroxyacetophenone monooxygenase activity	0.000
2-hydroxyquinoline 8-monooxygenase activity	0.000
limonene monooxygenase activity	0.000
(R)-limonene 6-monooxygenase activity	0.000
(S)-limonene 1,2-monooxygenase activity	0.000
(S)-limonene 7-monooxygenase activity	0.000
(S)-limonene 6-monooxygenase activity	0.000
(S)-limonene 3-monooxygenase activity	0.000
(R)-limonene 1,2-monooxygenase activity	0.000
4-hydroxybenzoate 1-hydroxylase activity	0.000
pentachlorophenol monooxygenase activity	0.000
anthraniloyl-CoA monooxygenase activity	0.000
anthranilate 3-monooxygenase (deaminating) activity	0.000
4-hydroxybenzoate 3-monooxygenase [NAD(P)H] activity	0.000
4-aminobenzoate 1-monooxygenase activity	0.000
3-hydroxybenzoate 6-monooxygenase activity	0.000
3-hydroxybenzoate 4-monooxygenase activity	0.000
cyclohexanone monooxygenase activity	0.000
2,4-dichlorophenol 6-monooxygenase activity	0.000
4-hydroxyphenylacetate 1-monooxygenase activity	0.000
benzoate 4-monooxygenase activity	0.000
2,6-dihydroxypyridine 3-monooxygenase activity	0.000
phenol 2-monooxygenase activity	0.000
orcinol 2-monooxygenase activity	0.000
4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity	0.000
4-hydroxybenzoate 3-monooxygenase activity	0.000
salicylate 1-monooxygenase activity	0.000
toluene 3-monooxygenase activity	0.000
phenanthrene 3,4-monooxygenase activity	0.000
2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity	0.000
2-hydroxy-phenylacetate hydroxylase activity	0.000
3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity	0.000
toluene-sulfonate methyl-monooxygenase activity	0.000
toluene-4-sulfonate monooxygenase activity	0.000
styrene monooxygenase activity	0.000
tetrahydrofuran hydroxylase activity	0.000
methanesulfonate monooxygenase activity	0.000
phenanthrene 1,2-monooxygenase activity	0.000
